date,state,crop,modal_price_rs_per_quintal
2019-01-01,Punjab,Wheat,2037.3
2019-02-01,Punjab,Wheat,1971.7
2019-03-01,Punjab,Wheat,2014.8
2019-04-01,Punjab,Wheat,2062.4
2019-05-01,Punjab,Wheat,2111.0
2019-06-01,Punjab,Wheat,2109.7
2019-07-01,Punjab,Wheat,2117.1
2019-08-01,Punjab,Wheat,2154.0
2019-09-01,Punjab,Wheat,2176.6
2019-10-01,Punjab,Wheat,2048.5
2019-11-01,Punjab,Wheat,2051.1
2019-12-01,Punjab,Wheat,2015.2
2020-01-01,Punjab,Wheat,2041.9
2020-02-01,Punjab,Wheat,2241.4
2020-03-01,Punjab,Wheat,2282.7
2020-04-01,Punjab,Wheat,2277.4
2020-05-01,Punjab,Wheat,2356.7
2020-06-01,Punjab,Wheat,2407.6
2020-07-01,Punjab,Wheat,2455.6
2020-08-01,Punjab,Wheat,2519.1
2020-09-01,Punjab,Wheat,2695.2
2020-10-01,Punjab,Wheat,2625.1
2020-11-01,Punjab,Wheat,2684.2
2020-12-01,Punjab,Wheat,2631.1
2021-01-01,Punjab,Wheat,2696.1
2021-02-01,Punjab,Wheat,2642.1
2021-03-01,Punjab,Wheat,2628.4
2021-04-01,Punjab,Wheat,2623.7
2021-05-01,Punjab,Wheat,2719.3
2021-06-01,Punjab,Wheat,2813.8
2021-07-01,Punjab,Wheat,2728.6
2021-08-01,Punjab,Wheat,2753.8
2021-09-01,Punjab,Wheat,2716.5
2021-10-01,Punjab,Wheat,2635.4
2021-11-01,Punjab,Wheat,2639.8
2021-12-01,Punjab,Wheat,2636.8
2022-01-01,Punjab,Wheat,2850.8
2022-02-01,Punjab,Wheat,2909.9
2022-03-01,Punjab,Wheat,2810.5
2022-04-01,Punjab,Wheat,2782.7
2022-05-01,Punjab,Wheat,2887.9
2022-06-01,Punjab,Wheat,3090.1
2022-07-01,Punjab,Wheat,2964.8
2022-08-01,Punjab,Wheat,2819.2
2022-09-01,Punjab,Wheat,3000.5
2022-10-01,Punjab,Wheat,3060.1
2022-11-01,Punjab,Wheat,3005.1
2022-12-01,Punjab,Wheat,3078.1
2023-01-01,Punjab,Wheat,2857.9
2023-02-01,Punjab,Wheat,2880.2
2023-03-01,Punjab,Wheat,2929.8
2023-04-01,Punjab,Wheat,3032.3
2023-05-01,Punjab,Wheat,2961.0
2023-06-01,Punjab,Wheat,2989.6
2023-07-01,Punjab,Wheat,2927.9
2023-08-01,Punjab,Wheat,2972.6
2023-09-01,Punjab,Wheat,2915.7
2023-10-01,Punjab,Wheat,2903.5
2023-11-01,Punjab,Wheat,2840.1
2023-12-01,Punjab,Wheat,2919.1
2024-01-01,Punjab,Wheat,3017.9
2024-02-01,Punjab,Wheat,3019.8
2024-03-01,Punjab,Wheat,3045.5
