year,state,crop,season,soil_type,rainfall_mm,avg_temp_c,fertilizer_kg_per_ha,pesticide_l_per_ha,irrigation_coverage_pct,area_hectare,yield_quintal_per_hectare
2015,Punjab,Wheat,Rabi,Alluvial,659.0,21.6,178.1,0.97,86.6,43225.0,37.96
2015,Punjab,Rice,Kharif,Alluvial,618.7,28.4,128.4,2.07,45.7,79539.0,23.93
2015,Punjab,Cotton,Kharif,Alluvial,607.4,24.5,147.9,1.6,84.3,76575.0,15.38
2015,Uttar Pradesh,Wheat,Rabi,Alluvial,947.1,16.4,126.4,1.01,57.2,153848.0,32.99
2015,Uttar Pradesh,Rice,Kharif,Alluvial,886.6,25.5,186.3,1.99,71.5,34899.0,26.74
2015,Uttar Pradesh,Sugarcane,Kharif,Alluvial,970.9,22.1,106.8,2.83,58.9,242548.0,719.79
2015,Uttar Pradesh,Sugarcane,Rabi,Alluvial,964.6,19.7,132.5,1.31,45.8,100226.0,729.77
2015,Maharashtra,Cotton,Kharif,Black,1214.5,22.6,148.1,3.46,47.3,23265.0,14.59
2015,Maharashtra,Soybean,Kharif,Black,1269.6,29.6,163.3,0.72,38.2,193961.0,11.9
2015,Maharashtra,Jowar,Kharif,Black,1211.9,29.4,128.0,1.48,51.3,81191.0,10.38
2015,Madhya Pradesh,Soybean,Kharif,Black,1358.2,26.8,165.1,2.64,62.2,34301.0,13.47
2015,Madhya Pradesh,Wheat,Rabi,Black,1084.7,23.9,74.5,0.82,71.4,11228.0,33.52
2015,Madhya Pradesh,Gram,Kharif,Black,1033.0,27.2,90.3,1.25,84.6,227354.0,10.77
2015,Madhya Pradesh,Gram,Rabi,Black,932.8,18.7,162.9,1.06,61.6,201900.0,11.11
2015,Karnataka,Ragi,Kharif,Red,1465.2,25.2,131.8,1.78,60.9,60844.0,16.51
2015,Karnataka,Ragi,Rabi,Red,1248.8,19.4,104.6,1.51,46.6,34367.0,15.36
2015,Karnataka,Maize,Kharif,Red,1338.4,31.7,144.4,3.42,16.6,94089.0,26.84
2015,Karnataka,Maize,Rabi,Red,1261.2,26.2,135.2,1.97,61.0,40499.0,29.96
2015,Karnataka,Cotton,Kharif,Red,1416.6,29.0,117.3,2.4,66.7,95107.0,16.92
2015,Rajasthan,Bajra,Kharif,Arid,384.5,25.6,142.5,0.55,44.9,171003.0,11.49
2015,Rajasthan,Mustard,Kharif,Arid,473.7,24.3,151.8,1.66,39.3,174280.0,13.67
2015,Rajasthan,Mustard,Rabi,Arid,536.4,16.9,145.7,1.23,81.1,134764.0,15.0
2015,Rajasthan,Wheat,Rabi,Arid,533.7,16.9,107.0,3.19,60.0,182859.0,34.57
2015,West Bengal,Rice,Kharif,Alluvial,1459.9,27.6,147.3,0.98,40.7,6240.0,28.59
2015,West Bengal,Jute,Kharif,Alluvial,1805.5,24.0,156.4,1.21,78.2,179484.0,25.39
2015,West Bengal,Jute,Rabi,Alluvial,1952.1,21.0,160.6,1.6,92.9,27950.0,25.94
2015,West Bengal,Potato,Kharif,Alluvial,1419.3,26.8,148.5,2.39,55.3,223551.0,232.46
2015,West Bengal,Potato,Rabi,Alluvial,1584.3,26.8,155.6,0.57,37.9,73789.0,205.04
2015,Bihar,Rice,Kharif,Alluvial,1299.5,26.4,157.9,3.28,64.5,8787.0,27.98
2015,Bihar,Wheat,Rabi,Alluvial,1013.4,16.2,128.8,2.17,72.1,46526.0,34.1
2015,Bihar,Maize,Kharif,Alluvial,1278.6,24.8,143.8,3.47,56.2,155677.0,26.84
2015,Bihar,Maize,Rabi,Alluvial,1272.7,21.4,167.1,1.38,76.1,93075.0,30.5
2015,Gujarat,Cotton,Kharif,Black,908.7,28.3,236.3,2.45,74.1,200582.0,17.2
2015,Gujarat,Groundnut,Kharif,Black,784.6,28.9,120.7,0.61,50.3,146679.0,18.52
2015,Gujarat,Bajra,Kharif,Black,552.2,28.7,99.7,0.61,45.6,12473.0,12.03
2015,Andhra Pradesh,Rice,Kharif,Red,999.2,24.3,122.1,0.76,68.6,157608.0,27.44
2015,Andhra Pradesh,Cotton,Kharif,Red,871.9,32.4,155.8,3.43,14.5,182892.0,14.2
2015,Andhra Pradesh,Chilli,Kharif,Red,870.1,29.1,120.2,3.39,52.7,11211.0,17.85
2016,Punjab,Wheat,Rabi,Alluvial,544.9,19.2,128.1,2.64,41.9,139561.0,30.3
2016,Punjab,Rice,Kharif,Alluvial,809.8,32.3,165.8,1.24,80.3,107802.0,28.21
2016,Punjab,Cotton,Kharif,Alluvial,750.5,28.9,116.8,1.92,53.8,125446.0,14.94
2016,Uttar Pradesh,Wheat,Rabi,Alluvial,746.2,24.1,104.2,0.64,83.8,160598.0,31.32
2016,Uttar Pradesh,Rice,Kharif,Alluvial,1163.8,27.0,115.5,2.43,64.2,22289.0,27.69
2016,Uttar Pradesh,Sugarcane,Kharif,Alluvial,895.6,27.3,156.6,2.43,97.7,100102.0,685.45
2016,Uttar Pradesh,Sugarcane,Rabi,Alluvial,936.0,21.5,147.0,1.46,42.5,22441.0,682.33
2016,Maharashtra,Cotton,Kharif,Black,1356.1,27.9,122.7,3.13,71.3,159091.0,16.08
2016,Maharashtra,Soybean,Kharif,Black,1000.7,25.6,158.7,1.74,67.2,247674.0,13.11
2016,Maharashtra,Jowar,Kharif,Black,1050.9,28.4,134.9,1.79,71.5,215311.0,10.67
2016,Madhya Pradesh,Soybean,Kharif,Black,1386.5,27.1,157.0,0.53,48.8,100354.0,12.53
2016,Madhya Pradesh,Wheat,Rabi,Black,1096.4,20.2,154.9,1.85,34.9,159800.0,31.91
2016,Madhya Pradesh,Gram,Kharif,Black,1356.8,29.0,155.6,1.98,67.6,27345.0,11.65
2016,Madhya Pradesh,Gram,Rabi,Black,985.9,22.4,136.3,0.85,63.3,90974.0,10.81
2016,Karnataka,Ragi,Kharif,Red,1093.2,27.6,146.1,2.97,44.9,22827.0,15.4
2016,Karnataka,Ragi,Rabi,Red,1336.7,16.4,104.8,3.34,40.6,204136.0,15.49
2016,Karnataka,Maize,Kharif,Red,1354.9,30.7,161.4,1.98,51.8,32243.0,28.99
2016,Karnataka,Maize,Rabi,Red,1216.4,20.8,119.3,2.25,52.8,187781.0,28.45
2016,Karnataka,Cotton,Kharif,Red,1442.5,26.0,145.6,2.16,55.3,23080.0,15.5
2016,Rajasthan,Bajra,Kharif,Arid,524.3,30.6,164.0,2.38,72.4,116363.0,14.03
2016,Rajasthan,Mustard,Kharif,Arid,670.8,25.0,119.0,1.56,43.0,118606.0,13.05
2016,Rajasthan,Mustard,Rabi,Arid,494.2,20.9,186.9,2.94,37.0,80834.0,14.79
2016,Rajasthan,Wheat,Rabi,Arid,366.8,24.6,169.5,0.95,45.6,246883.0,30.46
2016,West Bengal,Rice,Kharif,Alluvial,2127.7,26.7,170.9,1.32,55.1,106631.0,28.3
2016,West Bengal,Jute,Kharif,Alluvial,1572.2,28.6,113.3,2.32,52.2,238743.0,25.53
2016,West Bengal,Jute,Rabi,Alluvial,1364.5,16.2,171.9,2.51,86.0,32822.0,26.41
2016,West Bengal,Potato,Kharif,Alluvial,2074.0,27.2,191.5,1.71,90.1,219780.0,252.89
2016,West Bengal,Potato,Rabi,Alluvial,2132.3,17.6,157.2,0.54,76.2,38411.0,213.94
2016,Bihar,Rice,Kharif,Alluvial,967.8,21.9,133.3,2.85,69.4,130927.0,29.07
2016,Bihar,Wheat,Rabi,Alluvial,924.2,15.7,138.6,3.44,13.7,117488.0,30.73
2016,Bihar,Maize,Kharif,Alluvial,940.9,28.7,149.2,1.54,36.2,49561.0,26.58
2016,Bihar,Maize,Rabi,Alluvial,1441.1,17.5,152.6,0.62,44.4,52111.0,27.46
